Entity,Code,Day,Weekly new hospital admissions
Belgium,BEL,2020-03-15,1532.885
Belgium,BEL,2020-03-22,1532.885
Belgium,BEL,2020-03-29,3511.353
Belgium,BEL,2020-04-05,3564.662
Belgium,BEL,2020-04-12,2825.377
Belgium,BEL,2020-04-19,1933.205
Belgium,BEL,2020-04-26,1410.174
Belgium,BEL,2020-05-03,896.195
Belgium,BEL,2020-05-10,627.638
Belgium,BEL,2020-05-17,431.501
Belgium,BEL,2020-05-24,346.006
Belgium,BEL,2020-05-31,246.428
Belgium,BEL,2020-06-07,181.049
Belgium,BEL,2020-06-14,143.834
Belgium,BEL,2020-06-21,122.711
Belgium,BEL,2020-06-28,98.571
Belgium,BEL,2020-07-05,79.461
Belgium,BEL,2020-07-12,65.379
Belgium,BEL,2020-07-19,94.548
Belgium,BEL,2020-07-26,124.723
Belgium,BEL,2020-08-02,168.979
Belgium,BEL,2020-08-09,190.102
Belgium,BEL,2020-08-16,245.423
Belgium,BEL,2020-08-23,170.991
Belgium,BEL,2020-08-30,103.6
Belgium,BEL,2020-09-06,119.694
Belgium,BEL,2020-09-13,214.242
Belgium,BEL,2020-09-20,318.848
Belgium,BEL,2020-09-27,450.612
Belgium,BEL,2020-10-04,544.154
Belgium,BEL,2020-10-11,885.13
Belgium,BEL,2020-10-18,1780.319
Belgium,BEL,2020-10-25,3308.175
Belgium,BEL,2020-11-01,4619.777
Belgium,BEL,2020-11-08,4206.381
Belgium,BEL,2020-11-15,3261.907
Belgium,BEL,2020-11-22,2143.424
Belgium,BEL,2020-11-29,1613.351
Belgium,BEL,2020-12-06,1330.713
Belgium,BEL,2020-12-13,1304.562
Belgium,BEL,2020-12-20,1262.317
Belgium,BEL,2020-12-27,1129.547
Belgium,BEL,2021-01-03,1024.941
Belgium,BEL,2021-01-10,928.381
Belgium,BEL,2021-01-17,844.897
Belgium,BEL,2021-01-24,996.778
Belgium,BEL,2021-01-31,841.88
Belgium,BEL,2021-02-07,933.41
Belgium,BEL,2021-02-14,838.862
Belgium,BEL,2021-02-21,841.88
Belgium,BEL,2021-02-28,1055.116
Belgium,BEL,2021-03-07,1026.952
Belgium,BEL,2021-03-14,1138.6
Belgium,BEL,2021-03-21,1391.063
Belgium,BEL,2021-03-28,1699.853
Belgium,BEL,2021-04-04,1853.745
Belgium,BEL,2021-04-11,1790.377
Belgium,BEL,2021-04-18,1652.579
Belgium,BEL,2021-04-25,1609.328
Belgium,BEL,2021-05-02,1357.871
Belgium,BEL,2021-05-09,1145.64
Belgium,BEL,2021-05-16,972.638
Belgium,BEL,2021-05-23,834.839
Belgium,BEL,2021-05-30,614.562
Belgium,BEL,2021-06-06,502.915
Belgium,BEL,2021-06-13,347.011
Belgium,BEL,2021-06-20,236.37
Belgium,BEL,2021-06-27,161.939
Croatia,HRV,2020-04-19,72.836
Croatia,HRV,2020-04-26,103.184
Croatia,HRV,2020-05-03,24.279
Croatia,HRV,2020-05-10,40.464
Croatia,HRV,2020-05-17,15.174
Croatia,HRV,2020-05-24,15.174
Croatia,HRV,2020-05-31,1.012
Croatia,HRV,2020-06-07,0
Croatia,HRV,2020-06-14,3.035
Croatia,HRV,2020-06-21,6.07
Croatia,HRV,2020-06-28,57.662
Croatia,HRV,2020-07-05,67.778
Croatia,HRV,2020-07-12,96.103
Croatia,HRV,2020-07-19,101.161
Croatia,HRV,2020-07-26,82.952
Croatia,HRV,2020-08-02,76.882
Croatia,HRV,2020-08-09,64.743
Croatia,HRV,2020-08-16,70.812
Croatia,HRV,2020-08-23,99.137
Croatia,HRV,2020-08-30,191.194
Croatia,HRV,2020-09-06,236.716
Croatia,HRV,2020-09-13,221.542
Croatia,HRV,2020-09-20,172.985
Croatia,HRV,2020-09-27,207.379
Croatia,HRV,2020-10-04,234.693
Croatia,HRV,2020-10-11,342.935
Croatia,HRV,2020-10-18,529.07
Croatia,HRV,2020-10-25,830.529
Croatia,HRV,2020-11-01,1096.582
Croatia,HRV,2020-11-08,1315.089
Croatia,HRV,2020-11-15,1532.585
Croatia,HRV,2020-11-22,1625.652
Croatia,HRV,2020-11-29,1823.927
Croatia,HRV,2020-12-06,2217.442
Croatia,HRV,2020-12-13,2361.091
Croatia,HRV,2020-12-20,2192.152
Croatia,HRV,2020-12-27,1704.558
Croatia,HRV,2021-01-03,1537.643
Croatia,HRV,2021-01-10,1216.963
Croatia,HRV,2021-01-17,983.282
Croatia,HRV,2021-01-24,829.518
Croatia,HRV,2021-01-31,723.299
Croatia,HRV,2021-02-07,653.498
Croatia,HRV,2021-02-14,472.42
Croatia,HRV,2021-02-21,471.409
Croatia,HRV,2021-02-28,469.386
Croatia,HRV,2021-03-07,524.012
Croatia,HRV,2021-03-14,613.034
Croatia,HRV,2021-03-21,717.229
Croatia,HRV,2021-03-28,946.864
Croatia,HRV,2021-04-04,1269.567
Croatia,HRV,2021-04-11,1532.585
Croatia,HRV,2021-04-18,1636.78
Croatia,HRV,2021-04-25,1736.929
Croatia,HRV,2021-05-02,1555.852
Croatia,HRV,2021-05-09,1259.451
Croatia,HRV,2021-05-16,1003.514
Croatia,HRV,2021-05-23,641.359
Croatia,HRV,2021-05-30,464.328
Croatia,HRV,2021-06-06,271.111
Croatia,HRV,2021-06-13,207.379
Croatia,HRV,2021-06-20,160.846
Croatia,HRV,2021-06-27,95.091
Cyprus,CYP,2020-03-15,8
Cyprus,CYP,2020-03-22,23
Cyprus,CYP,2020-03-29,53
Cyprus,CYP,2020-04-05,37
Cyprus,CYP,2020-04-12,20
Cyprus,CYP,2020-04-19,11
Cyprus,CYP,2020-04-26,6
Cyprus,CYP,2020-05-03,6
Cyprus,CYP,2020-05-10,6
Cyprus,CYP,2020-05-17,1
Cyprus,CYP,2020-05-24,1
Cyprus,CYP,2020-05-31,1
Cyprus,CYP,2020-06-07,1
Cyprus,CYP,2020-06-14,1
Cyprus,CYP,2020-06-21,1
Cyprus,CYP,2020-06-28,2
Cyprus,CYP,2020-07-19,1
Cyprus,CYP,2020-07-26,1
Cyprus,CYP,2020-08-02,8
Cyprus,CYP,2020-08-09,4
Cyprus,CYP,2020-08-16,2
Cyprus,CYP,2020-08-23,4
Cyprus,CYP,2020-08-30,5
Cyprus,CYP,2020-09-06,1
Cyprus,CYP,2020-09-13,2
Cyprus,CYP,2020-09-20,6
Cyprus,CYP,2020-09-27,15
Cyprus,CYP,2020-10-04,4
Cyprus,CYP,2020-10-11,7
Cyprus,CYP,2020-10-18,29
Cyprus,CYP,2020-10-25,33
Cyprus,CYP,2020-11-01,40
Cyprus,CYP,2020-11-08,64
Cyprus,CYP,2020-11-15,60
Cyprus,CYP,2020-11-22,72
Cyprus,CYP,2020-11-29,85
Cyprus,CYP,2020-12-06,75
Cyprus,CYP,2020-12-13,79
Cyprus,CYP,2020-12-20,105
Cyprus,CYP,2020-12-27,100
Cyprus,CYP,2021-01-03,123
Cyprus,CYP,2021-01-10,135
Cyprus,CYP,2021-01-17,117
Cyprus,CYP,2021-01-24,96
Cyprus,CYP,2021-01-31,70
Cyprus,CYP,2021-02-07,68
Cyprus,CYP,2021-02-14,54
Cyprus,CYP,2021-02-21,66
Cyprus,CYP,2021-02-28,60
Cyprus,CYP,2021-03-07,106
Cyprus,CYP,2021-03-14,178
Cyprus,CYP,2021-03-21,167
Cyprus,CYP,2021-03-28,146
Cyprus,CYP,2021-04-04,151
Cyprus,CYP,2021-04-11,176
Cyprus,CYP,2021-04-18,204
Cyprus,CYP,2021-04-25,249
Cyprus,CYP,2021-05-02,226
Cyprus,CYP,2021-05-09,186
Cyprus,CYP,2021-05-16,111
Cyprus,CYP,2021-05-23,67
Cyprus,CYP,2021-05-30,35
Cyprus,CYP,2021-06-06,22
Cyprus,CYP,2021-06-13,20
Cyprus,CYP,2021-06-20,29
Czechia,CZE,2020-03-15,8.011
Czechia,CZE,2020-03-22,120.169
Czechia,CZE,2020-03-29,350.492
Czechia,CZE,2020-04-05,517.727
Czechia,CZE,2020-04-12,579.814
Czechia,CZE,2020-04-19,515.724
Czechia,CZE,2020-04-26,477.671
Czechia,CZE,2020-05-03,371.522
Czechia,CZE,2020-05-10,284.399
Czechia,CZE,2020-05-17,194.273
Czechia,CZE,2020-05-24,146.205
Czechia,CZE,2020-05-31,120.169
Czechia,CZE,2020-06-07,100.141
Czechia,CZE,2020-06-14,91.128
Czechia,CZE,2020-06-21,114.16
Czechia,CZE,2020-06-28,107.151
Czechia,CZE,2020-07-05,106.149
Czechia,CZE,2020-07-12,107.151
Czechia,CZE,2020-07-19,109.153
Czechia,CZE,2020-07-26,131.184
Czechia,CZE,2020-08-02,170.239
Czechia,CZE,2020-08-09,176.248
Czechia,CZE,2020-08-16,191.269
Czechia,CZE,2020-08-23,203.286
Czechia,CZE,2020-08-30,232.326
Czechia,CZE,2020-09-06,324.456
Czechia,CZE,2020-09-13,497.699
Czechia,CZE,2020-09-20,845.187
Czechia,CZE,2020-09-27,1360.912
Czechia,CZE,2020-10-04,1971.77
Czechia,CZE,2020-10-11,3388.76
Czechia,CZE,2020-10-18,5628.907
Czechia,CZE,2020-10-25,9018.669
Czechia,CZE,2020-11-01,11770.534
Czechia,CZE,2020-11-08,12846.045
Czechia,CZE,2020-11-15,11593.285
Czechia,CZE,2020-11-22,9440.261
Czechia,CZE,2020-11-29,8310.674
Czechia,CZE,2020-12-06,7400.395
Czechia,CZE,2020-12-13,7259.197
Czechia,CZE,2020-12-20,7648.744
Czechia,CZE,2020-12-27,8231.563
Czechia,CZE,2021-01-03,10238.382
Czechia,CZE,2021-01-10,12145.06
Czechia,CZE,2021-01-17,11449.083
Czechia,CZE,2021-01-24,10484.728
Czechia,CZE,2021-01-31,9678.596
Czechia,CZE,2021-02-07,9566.438
Czechia,CZE,2021-02-14,9822.798
Czechia,CZE,2021-02-21,10643.952
Czechia,CZE,2021-02-28,12081.972
Czechia,CZE,2021-03-07,13629.145
Czechia,CZE,2021-03-14,14519.396
Czechia,CZE,2021-03-21,14205.955
Czechia,CZE,2021-03-28,13102.405
Czechia,CZE,2021-04-04,11599.294
Czechia,CZE,2021-04-11,9520.373
Czechia,CZE,2021-04-18,7555.613
Czechia,CZE,2021-04-25,5926.325
Czechia,CZE,2021-05-02,4625.497
Czechia,CZE,2021-05-09,3612.074
Czechia,CZE,2021-05-16,2639.708
Czechia,CZE,2021-05-23,1800.529
Czechia,CZE,2021-05-30,1154.622
Czechia,CZE,2021-06-06,704.99
Czechia,CZE,2021-06-13,395.556
Czechia,CZE,2021-06-20,229.322
Czechia,CZE,2021-06-27,118.166
Denmark,DNK,2020-03-01,0.995
Denmark,DNK,2020-03-08,8.953
Denmark,DNK,2020-03-15,134.291
Denmark,DNK,2020-03-22,327.273
Denmark,DNK,2020-03-29,560.045
Denmark,DNK,2020-04-05,324.289
Denmark,DNK,2020-04-12,277.536
Denmark,DNK,2020-04-19,195.966
Denmark,DNK,2020-04-26,208.898
Denmark,DNK,2020-05-03,136.281
Denmark,DNK,2020-05-10,94.501
Denmark,DNK,2020-05-17,63.664
Denmark,DNK,2020-05-24,64.659
Denmark,DNK,2020-05-31,51.727
Denmark,DNK,2020-06-07,33.822
Denmark,DNK,2020-06-14,26.858
Denmark,DNK,2020-06-21,26.858
Denmark,DNK,2020-06-28,29.843
Denmark,DNK,2020-07-05,21.885
Denmark,DNK,2020-07-12,16.911
Denmark,DNK,2020-07-19,17.906
Denmark,DNK,2020-07-26,18.9
Denmark,DNK,2020-08-02,21.885
Denmark,DNK,2020-08-09,31.832
Denmark,DNK,2020-08-16,19.895
Denmark,DNK,2020-08-23,27.853
Denmark,DNK,2020-08-30,21.885
Denmark,DNK,2020-09-06,28.848
Denmark,DNK,2020-09-13,58.69
Denmark,DNK,2020-09-20,87.538
Denmark,DNK,2020-09-27,124.344
Denmark,DNK,2020-10-04,116.386
Denmark,DNK,2020-10-11,103.454
Denmark,DNK,2020-10-18,121.36
Denmark,DNK,2020-10-25,142.249
Denmark,DNK,2020-11-01,194.971
Denmark,DNK,2020-11-08,248.688
Denmark,DNK,2020-11-15,277.536
Denmark,DNK,2020-11-22,273.557
Denmark,DNK,2020-11-29,262.614
Denmark,DNK,2020-12-06,315.336
Denmark,DNK,2020-12-13,477.481
Denmark,DNK,2020-12-20,816.691
Denmark,DNK,2020-12-27,942.03
Denmark,DNK,2021-01-03,993.757
Denmark,DNK,2021-01-10,880.355
Denmark,DNK,2021-01-17,706.274
Denmark,DNK,2021-01-24,605.804
Denmark,DNK,2021-01-31,379
Denmark,DNK,2021-02-07,249.683
Denmark,DNK,2021-02-14,207.903
Denmark,DNK,2021-02-21,160.155
Denmark,DNK,2021-02-28,189.003
Denmark,DNK,2021-03-07,197.956
Denmark,DNK,2021-03-14,178.061
Denmark,DNK,2021-03-21,165.129
Denmark,DNK,2021-03-28,209.893
Denmark,DNK,2021-04-04,221.83
Denmark,DNK,2021-04-11,204.919
Denmark,DNK,2021-04-18,188.008
Denmark,DNK,2021-04-25,189.003
Denmark,DNK,2021-05-02,174.082
Denmark,DNK,2021-05-09,145.234
Denmark,DNK,2021-05-16,227.798
Denmark,DNK,2021-05-23,161.15
Denmark,DNK,2021-05-30,167.118
Denmark,DNK,2021-06-06,147.223
Denmark,DNK,2021-06-13,105.444
Denmark,DNK,2021-06-20,69.633
Denmark,DNK,2021-06-27,53.717
Estonia,EST,2020-03-01,0.998
Estonia,EST,2020-03-08,0
Estonia,EST,2020-03-15,3.993
Estonia,EST,2020-03-22,33.938
Estonia,EST,2020-03-29,74.862
Estonia,EST,2020-04-05,99.817
Estonia,EST,2020-04-12,63.883
Estonia,EST,2020-04-19,42.921
Estonia,EST,2020-04-26,21.96
Estonia,EST,2020-05-03,24.954
Estonia,EST,2020-05-10,5.989
Estonia,EST,2020-05-17,8.983
Estonia,EST,2020-05-24,24.954
Estonia,EST,2020-05-31,6.987
Estonia,EST,2020-06-07,3.993
Estonia,EST,2020-06-14,9.982
Estonia,EST,2020-06-21,4.991
Estonia,EST,2020-06-28,1.996
Estonia,EST,2020-07-05,0.998
Estonia,EST,2020-07-12,1.996
Estonia,EST,2020-07-19,0
Estonia,EST,2020-07-26,0
Estonia,EST,2020-08-02,1.996
Estonia,EST,2020-08-09,5.989
Estonia,EST,2020-08-16,1.996
Estonia,EST,2020-08-23,7.985
Estonia,EST,2020-08-30,6.987
Estonia,EST,2020-09-06,4.991
Estonia,EST,2020-09-13,10.98
Estonia,EST,2020-09-20,18.965
Estonia,EST,2020-09-27,32.939
Estonia,EST,2020-10-04,29.945
Estonia,EST,2020-10-11,13.974
Estonia,EST,2020-10-18,23.956
Estonia,EST,2020-10-25,17.967
Estonia,EST,2020-11-01,30.943
Estonia,EST,2020-11-08,53.901
Estonia,EST,2020-11-15,72.866
Estonia,EST,2020-11-22,131.758
Estonia,EST,2020-11-29,164.697
Estonia,EST,2020-12-06,182.664
Estonia,EST,2020-12-13,172.683
Estonia,EST,2020-12-20,239.56
Estonia,EST,2020-12-27,272.499
Estonia,EST,2021-01-03,256.529
Estonia,EST,2021-01-10,254.532
Estonia,EST,2021-01-17,279.487
Estonia,EST,2021-01-24,287.472
Estonia,EST,2021-01-31,299.45
Estonia,EST,2021-02-07,290.466
Estonia,EST,2021-02-14,302.444
Estonia,EST,2021-02-21,333.388
Estonia,EST,2021-02-28,386.29
Estonia,EST,2021-03-07,531.024
Estonia,EST,2021-03-14,537.013
Estonia,EST,2021-03-21,525.035
Estonia,EST,2021-03-28,542.004
Estonia,EST,2021-04-04,492.096
Estonia,EST,2021-04-11,375.311
Estonia,EST,2021-04-18,283.479
Estonia,EST,2021-04-25,245.549
Estonia,EST,2021-05-02,217.6
Estonia,EST,2021-05-09,179.67
Estonia,EST,2021-05-16,139.743
Estonia,EST,2021-05-23,130.76
Estonia,EST,2021-05-30,77.857
Estonia,EST,2021-06-06,46.914
Estonia,EST,2021-06-13,36.932
Estonia,EST,2021-06-20,37.93
Estonia,EST,2021-06-27,22.958
France,FRA,2020-03-15,1163.201
France,FRA,2020-03-22,7722.894
France,FRA,2020-03-29,17060.621
France,FRA,2020-04-05,20058.449
France,FRA,2020-04-12,16418.301
France,FRA,2020-04-19,10249.018
France,FRA,2020-04-26,7644.612
France,FRA,2020-05-03,4913.748
France,FRA,2020-05-10,3640.148
France,FRA,2020-05-17,2679.679
France,FRA,2020-05-24,1757.347
France,FRA,2020-05-31,1418.122
France,FRA,2020-06-07,978.534
France,FRA,2020-06-14,704.545
France,FRA,2020-06-21,618.233
France,FRA,2020-06-28,552.997
France,FRA,2020-07-05,536.939
France,FRA,2020-07-12,503.82
France,FRA,2020-07-19,510.845
France,FRA,2020-07-26,566.044
France,FRA,2020-08-02,630.276
France,FRA,2020-08-09,666.407
France,FRA,2020-08-16,824.98
France,FRA,2020-08-23,949.429
