Altersgruppe,Jahr,Quartal,AnzahlFall
00-04,2020,1,36
00-04,2020,2,184
00-04,2020,3,152
00-04,2020,4,1323
00-04,2021,1,1477
00-04,2021,2,1432
00-04,2021,3,1118
00-04,2021,4,4404
00-04,2022,1,21178
05-14,2020,1,76
05-14,2020,2,377
05-14,2020,3,551
05-14,2020,4,5239
05-14,2021,1,3083
05-14,2021,2,4381
05-14,2021,3,5175
05-14,2021,4,25551
05-14,2022,1,92555
15-34,2020,1,1039
15-34,2020,2,1599
15-34,2020,3,3190
15-34,2020,4,27671
15-34,2021,1,13918
15-34,2021,2,11243
15-34,2021,3,11577
15-34,2021,4,39603
15-34,2022,1,203413
35-59,2020,1,1295
35-59,2020,2,1929
35-59,2020,3,2206
35-59,2020,4,30565
35-59,2021,1,18011
35-59,2021,2,12253
35-59,2021,3,7928
35-59,2021,4,43937
35-59,2022,1,212081
60-79,2020,1,371
60-79,2020,2,786
60-79,2020,3,427
60-79,2020,4,10813
60-79,2021,1,7473
60-79,2021,2,3464
60-79,2021,3,1278
60-79,2021,4,10226
60-79,2022,1,39281
80+,2020,1,82
80+,2020,2,495
80+,2020,3,106
80+,2020,4,6558
80+,2021,1,4351
80+,2021,2,539
80+,2021,3,373
80+,2021,4,2409
80+,2022,1,11932
unbekannt,2020,2,2
unbekannt,2020,3,15
unbekannt,2020,4,499
unbekannt,2021,1,21
unbekannt,2021,2,4
unbekannt,2021,3,8
unbekannt,2021,4,37
unbekannt,2022,1,528
